3,"813 ","AFFILIATED CB                                     ","                                                  ","16045351141","16045355174","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON - FRI: 7:30 TO 5:30 PM"
4,"ALL ","AGILITY CB                                        ","                                                  ","9056127500 ","9056127550 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
5,"ALL ","AGILITY CB (for MEMOREX)                          ","                                                  ","9056127557 ","9056127550 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
6,"502 ","AGILITY CB                                        ","                                                  ","14032919790","14032919827","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8-5"
7,"ALL ","ALL WAYS CB                                       ","                                                  ","9055641511 ","9055641578 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
8,"ALL ","ALLIANCE CB                                       ","                                                  ","15146314248","15146314249","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8 - 5 "
9,"ALL ","ALLIANCE BORDER SERVICES                          ","                                                  ","16042780233","16042780271","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
10,"ALL ","ALOHA CB                                          ","                                                  ","4162914721 ","4162915758 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
11,"ALL ","ALPHA COMMERCE INTL                               ","                                                  ","15146338147","15146330798","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
12,"ALL ","ALPHA LOGISTICS INC                               ","                                                  ","15142275800","15142275858","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
13,"ALL ","AMBASSADOR CB                                     ","                                                  ","15192586072","15192586808","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
14,"ALL ","AMERI-CONNECT CB                                  ","                                                  ","4166798239 ","4166798253 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
15,"ALL ","AN DERRINGER                                      ","                                                  ","15148661603","15182987487","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","ATTN: KATHLEEN OFFICE LOCATED IN CHAMPLAIN, NY. BGL does work in Canada for AN Derringer"
16,"ALL ","ANDERSON & BRICKNER CB                            ","                                                  ","9056968444 ","9056968594 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
17,"ALL ","ANIXTER CANADA ATT: MARCO                         ","                                                  ","18006680410","9055022157 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR"
18,"ALL ","ARRIVAL CB                                        ","                                                  ","15148497595","15148493484","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8 - 5:30"
19,"ALL ","ASSINIBOINE CB                                    ","                                                  ","12047748376","12047743018","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8 - 4:30"
20,"ALL ","ATLANTIC CB                                       ","                                                  ","19024221225","19024293350","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
21,"ALL ","AUBURN & TREMBLAY CB                              ","                                                  ","14502463447","14502462471","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
22,"ALL ","AVALON CB                                         ","                                                  ","17095764761","17095760159","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
23,"ALL ","AXXESS INTL                                       ","                                                  ","15148499377","15148499428","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
24,"ALL ","AZIMUTH CB                                        ","                                                  ","15149244427","15143432623","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
25,"ALL ","B & B CB                                          ","                                                  ","15193544010","5193541001 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
26,"ALL ","B ZEE BROKERAGE LTD                               ","                                                  ","9056243033 ","9056245033 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
27,"ALL ","BAX GLOBAL                                        ","                                                  ","9056779067 ","9056774293 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
28,"ALL ","BAX GLOBAL                                        ","                                                  ","15146366350","15146366361","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
29,"ALL ","BCB CANADA                                        ","                                                  ","19058711884","19058711579","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
30,"ALL ","BEAVER BROKERAGE                                  ","                                                  ","15063252020","15063284664","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
31,"ALL ","BELLEVILLE RODAIR CB                              ","                                                  ","9056714655 ","9056714414 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
32,"ALL ","BENSOL CB                                         ","                                                  ","15148428036","15148428039","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
33,"ALL ","BGL BROKERAGE                                     ","                                                  ","15142888111","15142886226","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","GARMIN"
34,"351 ","BGL BROKERAGE                                     ","                                                  ","14502464366","14502464333","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
35,"427 ","BGL BROKERAGE                                     ","                                                  ","9056730245 ","9056731619 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
36,"453 ","BGL BROKERAGE                                     ","                                                  ","9056730245 ","9056731619 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
37,"813 ","BGL BROKERAGE                                     ","                                                  ","16045412311","16045412396","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
38,"ALL ","BINUS & GARRET                                    ","                                                  ","17057282020","17057280745","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8 - 7"
39,"ALL ","BLUENOSE CB                                       ","                                                  ","19057422511","19027428255","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
40,"ALL ","BOC CANADA                                        ","                                                  ","9055012563 ","9055015172 ","NA                                                ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR"
41,"ALL ","BRIDGEVIEW CB                                     ","                                                  ","15192508378","15192508379","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
42,"ALL ","BRIDGEWOOD                                        ","                                                  ","9058569357 ","9058562582 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
43,"ALL ","BUCKLAND CB                                       ","                                                  ","15196314944","15196338038","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE ALT P: 18009914944 F: 18006338038"
44,"ALL ","BUCKLAND CB (INTL TRUCK & ENGINE)                 ","                                                  ","15199669359","15199664836","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
45,"ALL ","BUN F WHITE CB                                    ","                                                  ","15193710221","15193761801","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
46,"ALL ","CALGARY CB                                        ","                                                  ","14032694393","14032695440","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","TILL 5 PM"
47,"ALL ","CANADIAN CUSTOMS HOUSE                            ","                                                  ","17056520144","17056529926","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
48,"ALL ","CANADIAN TIRE ATTN: DAVID WATSON                  ","                                                  ","9057924124 ","9057924954 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR"
49,"ALL ","CAPITAL CB                                        ","                                                  ","16137898560","16137895970","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
50,"ALL ","CARGO SOLUTIONS ATT:JULIE                         ","                                                  ","15146362576","15146368799","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR"
51,"ALL ","CARSON CB                                         ","                                                  ","18884227766","18775382721","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","ALTERNATE FAX: 16045382721"
52,"351 ","CARSON CB                                         ","                                                  ","18003900039","18003900039","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","USE 24 /7 SERVICE"
53,"427 ","CARSON CB                                         ","                                                  ","9056731999 ","9056732790 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","USE 24 /7 SERVICE"
54,"453 ","CARSON CB                                         ","                                                  ","9056731999 ","9056732790 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","USE 24 /7 SERVICE"
55,"502 ","CARSON CB                                         ","                                                  ","17804969627","17804969629","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","USE 24 /7 SERVICE"
56,"705 ","CARSON CB                                         ","                                                  ","17804969627","17804969629","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","USE 24 /7 SERVICE"
57,"813 ","CARSON CB                                         ","                                                  ","16045384966","16045382721","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","USE 24 /7 SERVICE"
58,"ALL ","CHARLES HIGGERTY LIMITED                          ","                                                  ","16137486600","16137485581","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON TO FRI: 8:30 - 5"
59,"ALL ","CLEAR CB                                          ","                                                  ","4169777821 ","4169774930 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
60,"ALL ","CMIS                                              ","                                                  ","9057920633 ","9054587355 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
61,"351 ","COLE INTL                                         ","                                                  ","15146312653","15146316116","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","www.cole.ca (left side of screen CC number tracker)"
62,"427 ","COLE INTL                                         ","                                                  ","19059949429","19059949432","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
63,"440 ","COLE INTL                                         ","                                                  ","15193445772","15193442139","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","USE WINDSOR AFTER 5 PM"
64,"453 ","COLE INTL                                         ","                                                  ","15192505646","15192509243","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","UNTIL MIDNIGHT"
65,"502 ","COLE INTL                                         ","                                                  ","12043732549","12043732689","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
66,"705 ","COLE INTL                                         ","                                                  ","14033443855","14033443877","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-Sun 6am -24"
67,"813 ","COLE INTL                                         ","                                                  ","16045381512","16045385243","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","PAK HIGHWAY OFFICE FOR COACH GLASS SHIPMENTS ALL PORTS"
68,"ALL ","COUNSELOR CB                                      ","                                                  ","4162525861 ","4162523854 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
69,"ALL ","COURTNEY AGENCIES                                 ","                                                  ","16046847505","16046837004","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8-5"
70,"ALL ","CUSTOM SERVICES INTL (CSI)                        ","                                                  ","15192500555","15192508572","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
71,"ALL ","CUSTOMS CLEARANCE CANADA LTD                      ","                                                  ","19056390060","18776028006","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8-4 ; AVAILABLE ON CALL AFTER HOURS"
72,"ALL ","CANADIAN CUSTOMS HOUSE (BROKERS)                  ","                                                  ","17056520144","17056529926","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
73,"ALL ","DANILE BOLDUC                                     ","                                                  ","18195631222","18195631272","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
74,"ALL ","DAVIDSON & SONS                                   ","                                                  ","16046815132","16046812601","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON TO FRI: 8:30 TO 4:30 PM"
75,"ALL ","DAVIDSON CB                                       ","                                                  ","15195760870","15197419774","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","MON TO FRI: 8:30 TO 5:00"
76,"ALL ","DELL WILL CB                                      ","                                                  ","15192583141","15192580257","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
77,"ALL ","DELMAR INTL                                       ","                                                  ","15199720672","18884724724","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
78,"ALL ","DELNAV TRANSPORT INTL                             ","                                                  ","15146316369","15146312851","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
79,"ALL ","DELTA CB                                          ","                                                  ","15148438864","15148438866","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
80,"ALL ","DEPARTMENT OF NATIONAL DEFENSE ATTN: ROCH LAROCHE ","                                                  ","16139960290","18003061811","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","SELF CLEAR "
81,"ALL ","DESPRADELLE CANADA INC                            ","                                                  ","15143566683","15143566682","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
82,"ALL ","DHL DANZAS                                        ","                                                  ","15199721994","15199725614","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24/7 OFFICE"
83,"ALL ","DOLBEC Y LOGISTICS INTL                           ","                                                  ","14186889115","14186882121","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8:30-5"
84,"ALL ","DL ZINN CB                                        ","                                                  ","15196273337","15196276252","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
85,"ALL ","EAGLE GLOBAL LOGISTICS                            ","                                                  ","18883278247","9056723957 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
86,"ALL ","EAJ CB                                            ","                                                  ","16042443136","16042443137","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
87,"ALL ","EAST WEST                                         ","                                                  ","9054039974 ","9054059976 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F:9-5; AFTER HOURS MOBILE 905-866-4713"
88,"ALL ","ELLIOTT CB                                        ","NA                                                ","9058731800 ","18882417632","NA                                                ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
89,"ALL ","EUROFRET CANADA                                   ","                                                  ","14504301313","14504303276","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8-10"
90,"ALL ","EW UNSWORTH LTD                                   ","                                                  ","4166952233 ","4166951868 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
91,"ALL ","EXPEDITORS CANADA                                 ","                                                  ","15199670975","9052906625 ","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","24 / 7 OFFICE"
92,"ALL ","EXPERT CB                                         ","                                                  ","18008185714","18888490031","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M-F: 8 TO MIDNIGHT"
93,"502 ","EXPERT CB                                         ","                                                  ","12043732085","12043732766","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
94,"351 ","FEDERATED CB                                      ","                                                  ","15146338688","15146338692","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
95,"427 ","FEDERATED CB                                      ","                                                  ","19052625764","19052625454","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
96,"440 ","FEDERATED CB                                      ","                                                  ","15193837873","15193326950","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
97,"453 ","FEDERATED CB                                      ","                                                  ","15199729933","15199729978","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
98,"502 ","FEDERATED CB                                      ","                                                  ","16042762643","16042701224","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
99,"440 ","FEDERATED CB                                      ","                                                  ","15193837873","15193326950","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
100,"705 ","FEDERATED CB                                      ","                                                  ","16042762643","16042701224","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
101,"813 ","FEDERATED CB                                      ","                                                  ","16042762643","16042701224","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","M - F: 7 TO 4:30 P"
102,"351 ","FEDEX TRADE NETWORKS                              ","                                                  ","14502463438","14502463886","                                                  ","2007-06-08-15.01.31.000000","JSINOPOLI           ","n/a"
